n,x,y,z,tier,method,status
222529,,,,T5,Failed (rational residue or no matching identity),failure
222601,,,,T5,Failed (rational residue or no matching identity),failure
222841,,,,T5,Failed (rational residue or no matching identity),failure
223129,,,,T5,Failed (rational residue or no matching identity),failure
223297,,,,T5,Failed (rational residue or no matching identity),failure
223921,,,,T5,Failed (rational residue or no matching identity),failure
223969,,,,T5,Failed (rational residue or no matching identity),failure
224041,,,,T5,Failed (rational residue or no matching identity),failure
224233,,,,T5,Failed (rational residue or no matching identity),failure
224401,,,,T5,Failed (rational residue or no matching identity),failure
224449,,,,T5,Failed (rational residue or no matching identity),failure
224737,,,,T5,Failed (rational residue or no matching identity),failure
225289,,,,T5,Failed (rational residue or no matching identity),failure
226489,,,,T5,Failed (rational residue or no matching identity),failure
226657,,,,T5,Failed (rational residue or no matching identity),failure
226801,,,,T5,Failed (rational residue or no matching identity),failure
227569,,,,T5,Failed (rational residue or no matching identity),failure
227761,,,,T5,Failed (rational residue or no matching identity),failure
227849,,,,T5,Failed (rational residue or no matching identity),failure
228649,,,,T5,Failed (rational residue or no matching identity),failure
229441,,,,T5,Failed (rational residue or no matching identity),failure
229849,,,,T5,Failed (rational residue or no matching identity),failure
230689,,,,T5,Failed (rational residue or no matching identity),failure
231697,,,,T5,Failed (rational residue or no matching identity),failure
232081,,,,T5,Failed (rational residue or no matching identity),failure
232681,,,,T5,Failed (rational residue or no matching identity),failure
233281,,,,T5,Failed (rational residue or no matching identity),failure
233809,,,,T5,Failed (rational residue or no matching identity),failure
233881,,,,T5,Failed (rational residue or no matching identity),failure
234121,,,,T5,Failed (rational residue or no matching identity),failure
234529,,,,T5,Failed (rational residue or no matching identity),failure
235009,,,,T5,Failed (rational residue or no matching identity),failure
235489,,,,T5,Failed (rational residue or no matching identity),failure
236281,,,,T5,Failed (rational residue or no matching identity),failure
236329,,,,T5,Failed (rational residue or no matching identity),failure
237049,,,,T5,Failed (rational residue or no matching identity),failure
237169,,,,T5,Failed (rational residue or no matching identity),failure
237241,,,,T5,Failed (rational residue or no matching identity),failure
238081,,,,T5,Failed (rational residue or no matching identity),failure
238681,,,,T5,Failed (rational residue or no matching identity),failure
239929,,,,T5,Failed (rational residue or no matching identity),failure
240769,,,,T5,Failed (rational residue or no matching identity),failure
241081,,,,T5,Failed (rational residue or no matching identity),failure
241321,,,,T5,Failed (rational residue or no matching identity),failure
243721,,,,T5,Failed (rational residue or no matching identity),failure
244129,,,,T5,Failed (rational residue or no matching identity),failure
246769,,,,T5,Failed (rational residue or no matching identity),failure
247369,,,,T5,Failed (rational residue or no matching identity),failure
247417,,,,T5,Failed (rational residue or no matching identity),failure
248249,,,,T5,Failed (rational residue or no matching identity),failure
248329,,,,T5,Failed (rational residue or no matching identity),failure
248641,,,,T5,Failed (rational residue or no matching identity),failure
248977,,,,T5,Failed (rational residue or no matching identity),failure
249001,,,,T5,Failed (rational residue or no matching identity),failure
250321,,,,T5,Failed (rational residue or no matching identity),failure
250441,,,,T5,Failed (rational residue or no matching identity),failure
250729,,,,T5,Failed (rational residue or no matching identity),failure
251761,,,,T5,Failed (rational residue or no matching identity),failure
252001,,,,T5,Failed (rational residue or no matching identity),failure
252169,,,,T5,Failed (rational residue or no matching identity),failure
252817,,,,T5,Failed (rational residue or no matching identity),failure
253009,,,,T5,Failed (rational residue or no matching identity),failure
253369,,,,T5,Failed (rational residue or no matching identity),failure
254017,,,,T5,Failed (rational residue or no matching identity),failure
254209,,,,T5,Failed (rational residue or no matching identity),failure
